scenario,ensemble,theta_deg,A2460,B2460,G2460,A2536,B2536,G2536,abs_ratio_G2460_over_G2536
legacy_chi_condensate,theta_fixed,35.3,-0.13295321756099268,-0.28552156089553604,-0.4184747784565287,-0.1774433467941655,0.19103577758288298,0.013592430788717469,30.78733928914965
legacy_chi_condensate,theta_fixed,35.3,-0.13148294869544286,-0.2756447540793893,-0.4071277027748322,-0.20724674218713832,0.21781257129886886,0.01056582911173054,38.532489828254484
legacy_chi_condensate,theta_fixed,35.3,-0.14066813413993293,-0.2918289942690666,-0.43249712840899956,-0.1858473403377438,0.19328760060244138,0.0074402602646975735,58.129300995168805
legacy_chi_condensate,theta_fixed,35.3,-0.1661340201165391,-0.34358822556215496,-0.5097222456786941,-0.1794154272777949,0.18601776203866047,0.00660233476086558,77.20333247868643
legacy_chi_condensate,theta_fixed,35.3,-0.15830030990368568,-0.3376794454778949,-0.49597975538158057,-0.16670484008467132,0.17827317665480896,0.011568336570137644,42.87390433140546
legacy_chi_condensate,theta_fixed,35.3,-0.12777207636571497,-0.27606665400237845,-0.4038387303680934,-0.14951871802288766,0.16195281345398574,0.01243409543109808,32.478336088532785
legacy_chi_condensate,theta_fixed,35.3,-0.16611465463516636,-0.328743666598171,-0.4948583212333374,-0.1867094877148693,0.18523829185133403,-0.0014711958635352795,336.3646768583173
legacy_chi_condensate,theta_fixed,35.3,-0.11197114324295268,-0.2609503396598017,-0.3729214829027544,-0.1476212971702153,0.17247085025137368,0.024849553081158382,15.007170619318453
legacy_chi_condensate,theta_fixed,35.3,-0.18407286759775549,-0.36173947193122363,-0.5458123395289791,-0.2538918486687901,0.25013232109931693,-0.0037595275694731756,145.18109774241236
legacy_chi_condensate,theta_fixed,35.3,-0.14934018678374827,-0.2835111334096517,-0.4328513201934,-0.19816339096609065,0.18859569993594874,-0.009567691030141906,45.24093836535397
legacy_chi_condensate,theta_fixed,35.3,-0.08535971894228761,-0.21691059062020618,-0.3022703095624938,-0.19110059728210935,0.24344718548036148,0.052346588198252136,5.774403260394087
legacy_chi_condensate,theta_fixed,35.3,-0.14453284945881406,-0.3321128127922078,-0.47664566225102184,-0.13839929480095592,0.15942920347606002,0.021029908675104098,22.665132293954787
legacy_chi_condensate,theta_fixed,35.3,-0.17857932834421802,-0.3401707558908069,-0.518750084235025,-0.2208843965400041,0.2109335981449191,-0.009950798395085003,52.131503788806654
legacy_chi_condensate,theta_fixed,35.3,-0.15359979685675648,-0.3242642039100869,-0.47786400076684343,-0.22303100437495155,0.23604159505897443,0.013010590684022882,36.72884747297942
legacy_chi_condensate,theta_fixed,35.3,-0.14180059245984045,-0.2823790737748016,-0.42417966623464204,-0.22240047318385564,0.2220266488783192,-0.00037382430553645207,1134.703281601575
legacy_chi_condensate,theta_fixed,35.3,-0.12247155321869219,-0.2667271120907139,-0.3891986653094061,-0.18263938483269748,0.1994074160491198,0.016768031216422313,23.210755054429516
legacy_chi_condensate,theta_fixed,35.3,-0.09938358515935362,-0.23057491947479009,-0.3299585046341437,-0.1444364022564753,0.1679921550794108,0.023555752822935483,14.007555059453404
legacy_chi_condensate,theta_fixed,35.3,-0.13540734925138637,-0.29003815285002627,-0.42544550210141263,-0.17313073038944457,0.18590967366328384,0.012778943273839272,33.29269822899784
legacy_chi_condensate,theta_fixed,35.3,-0.16960120426278194,-0.3347358703105599,-0.5043370745733419,-0.19695230032605954,0.19487194188177184,-0.0020803584442876943,242.42797002514857
legacy_chi_condensate,theta_fixed,35.3,-0.1403000305814535,-0.30575086210839253,-0.446050892689846,-0.2008385104951028,0.2194177965704883,0.018579286075385504,24.007967307247075
legacy_chi_condensate,theta_fixed,35.3,-0.1558640284851346,-0.32001576436230506,-0.47587979284743964,-0.16748913699034812,0.17239594792942856,0.004906810939080436,96.98351918499273
legacy_chi_condensate,theta_fixed,35.3,-0.16461069942889475,-0.3358787119426987,-0.5004894113715934,-0.16526209270408307,0.16904899757307906,0.003786904868995994,132.1631856847479
legacy_chi_condensate,theta_fixed,35.3,-0.11200126449400438,-0.2349282185204633,-0.3469294830144677,-0.12877862206537188,0.13541630721258627,0.006637685147214384,52.26663743761068
legacy_chi_condensate,theta_fixed,35.3,-0.14950120299841677,-0.3016194746706366,-0.4511206776690534,-0.18663672915389576,0.18876728945052546,0.0021305602966296966,211.73804767819755
legacy_chi_condensate,theta_fixed,35.3,-0.12348756335128552,-0.2672331738971875,-0.390720737248473,-0.1966371025986266,0.2133278458794223,0.0166907432807957,23.40942705038395
legacy_chi_condensate,theta_fixed,35.3,-0.12069529285247292,-0.2799038930023711,-0.40059918585484405,-0.13113476622253692,0.15245840975515418,0.02132364353261726,18.78661989645794
legacy_chi_condensate,theta_fixed,35.3,-0.11746618920711861,-0.2507203045272571,-0.3681864937343757,-0.1577797634109599,0.16882737210362894,0.011047608692669048,33.32725696364465
legacy_chi_condensate,theta_fixed,35.3,-0.1456564931440333,-0.30954390435865314,-0.4552003975026865,-0.17216898511165118,0.1834265759607237,0.011257590849072519,40.434974374662865
legacy_chi_condensate,theta_fixed,35.3,-0.16368156858397007,-0.3204469812216987,-0.4841285498056688,-0.2527162489954246,0.24803016735026537,-0.00468608164515924,103.31201768662683
