sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,rho_AB,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.087074618212967,7.959410064806733,26.84368543671933,0.40030852841229536,0.17382199505561013,AA_AB_BB_two_point_LO_d3_d5,2.103344698721363,9.329740023826627,7.65,10.7,-0.6746494071402076,-0.38961600410899067,3.242122917980967,-0.027933542674171516,D_{s1}(2460),Ds1_2460,-0.5543233730690296,-0.15323064480181278,-0.40109272826721676,constructive,64.47020917871174,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.087074618212967,7.959410064806733,26.84368543671933,0.40030852841229536,0.17382199505561013,AA_AB_BB_two_point_LO_d3_d5,2.103344698721363,9.329740023826627,7.65,10.7,-0.6746494071402076,-0.38961600410899067,3.242122917980967,-0.027933542674171516,D_{s1}(2536),Ds1_2536,-0.22979308939927365,-0.6972761197118165,0.4674830303125428,destructive,16.383084404152605,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.2617244047772895,7.695643339720525,26.12983295220875,0.3554991211096813,0.14398030835741496,AA_AB_BB_two_point_LO_d3_d5,2.214688589660791,10.750053329112612,7.325,8.75,-0.4274846649971412,-0.31876713357829334,3.6650505019428294,-0.039109644320173824,D_{s1}(2460),Ds1_2460,-0.5134597790864207,-0.135509624049109,-0.37795015503731166,constructive,55.489685381147666,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.2617244047772895,7.695643339720525,26.12983295220875,0.3554991211096813,0.14398030835741496,AA_AB_BB_two_point_LO_d3_d5,2.214688589660791,10.750053329112612,7.325,8.75,-0.4274846649971412,-0.31876713357829334,3.6650505019428294,-0.039109644320173824,D_{s1}(2536),Ds1_2536,-0.22430479604649384,-0.6820724009630416,0.4577676049165477,destructive,15.611350401897761,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.5939517033494925,8.282436144613321,25.967610514461224,0.3819376447987424,0.15148658517345961,AA_AB_BB_two_point_LO_d3_d5,2.350407720075543,9.2417865746633,7.7,9.15,-0.5319799524752153,-0.35313558581885623,2.9620847070239438,-0.03526229933376221,D_{s1}(2460),Ds1_2460,-0.5485854454639746,-0.14742545898738788,-0.40115998647658674,constructive,63.21080299503627,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.5939517033494925,8.282436144613321,25.967610514461224,0.3819376447987424,0.15148658517345961,AA_AB_BB_two_point_LO_d3_d5,2.350407720075543,9.2417865746633,7.7,9.15,-0.5319799524752153,-0.35313558581885623,2.9620847070239438,-0.03526229933376221,D_{s1}(2536),Ds1_2536,-0.27058963670946995,-0.7631895018919183,0.49259986518244836,destructive,22.717031627779026,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.336712943718883,8.42159171347284,26.86111684779994,0.3751801881138961,0.15220714057454082,AA_AB_BB_two_point_LO_d3_d5,2.5785343221015147,10.345908015821426,7.725,9.275,-0.6108024316109523,-0.3426644800886346,3.102481843863293,-0.03528618051799915,D_{s1}(2460),Ds1_2460,-0.587650433477092,-0.1704235361978865,-0.41722689727920553,constructive,72.60388488575981,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.336712943718883,8.42159171347284,26.86111684779994,0.3751801881138961,0.15220714057454082,AA_AB_BB_two_point_LO_d3_d5,2.5785343221015147,10.345908015821426,7.725,9.275,-0.6108024316109523,-0.3426644800886346,3.102481843863293,-0.03528618051799915,D_{s1}(2536),Ds1_2536,-0.30854417083759683,-0.8294221377133876,0.5208779668757907,destructive,29.541530710958984,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.438195776749294,7.8399193027895215,26.47556031779382,0.40744336132015363,0.16373247443345101,AA_AB_BB_two_point_LO_d3_d5,2.4261595936341775,10.06459390623978,7.875,9.6,-0.550945830978582,-0.3724848622751688,2.897963351805328,-0.034068526787905375,D_{s1}(2460),Ds1_2460,-0.49107357827236625,-0.13419934864793528,-0.356874229624431,constructive,50.66887928301777,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.438195776749294,7.8399193027895215,26.47556031779382,0.40744336132015363,0.16373247443345101,AA_AB_BB_two_point_LO_d3_d5,2.4261595936341775,10.06459390623978,7.875,9.6,-0.550945830978582,-0.3724848622751688,2.897963351805328,-0.034068526787905375,D_{s1}(2536),Ds1_2536,-0.22821539435394714,-0.6705183061136171,0.44230291175966996,destructive,16.15601448691486,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.5499904182364546,7.934746258634881,27.025046228490726,0.42929177988035205,0.17287821984704912,AA_AB_BB_two_point_LO_d3_d5,2.297367414182708,10.300924871649439,8.375,10.3,-0.49527589671157324,-0.3558854371978164,2.7915942747352855,-0.031103941350883943,D_{s1}(2460),Ds1_2460,-0.4843641364628128,-0.13147773200454665,-0.35288640445826613,constructive,49.14954000359128,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.5499904182364546,7.934746258634881,27.025046228490726,0.42929177988035205,0.17287821984704912,AA_AB_BB_two_point_LO_d3_d5,2.297367414182708,10.300924871649439,8.375,10.3,-0.49527589671157324,-0.3558854371978164,2.7915942747352855,-0.031103941350883943,D_{s1}(2536),Ds1_2536,-0.19309887613376983,-0.6400728924207608,0.446974016286991,destructive,11.570653671282916,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.8800766751498674,8.067506342737255,27.489473020949248,0.388748203686079,0.16481546801324257,AA_AB_BB_two_point_LO_d3_d5,2.578715801508859,9.880310072264336,7.875,9.75,-0.4359341646151638,-0.3634615820927103,3.326353864653171,-0.03998927060143591,D_{s1}(2460),Ds1_2460,-0.48294712123521555,-0.12712630823121357,-0.3558208130040019,constructive,48.89618419599323,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.8800766751498674,8.067506342737255,27.489473020949248,0.388748203686079,0.16481546801324257,AA_AB_BB_two_point_LO_d3_d5,2.578715801508859,9.880310072264336,7.875,9.75,-0.4359341646151638,-0.3634615820927103,3.326353864653171,-0.03998927060143591,D_{s1}(2536),Ds1_2536,-0.13956695447028641,-0.5762673716873213,0.4367004172170349,destructive,6.049280827370395,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.233324458119498,8.300715841750963,27.030443194892722,0.4216900648109971,0.15968516253149317,AA_AB_BB_two_point_LO_d3_d5,2.5407870890858373,10.620782741942671,8.35,9.6,-0.6989717440347486,-0.3700276969781134,2.929887647902229,-0.03156566022133234,D_{s1}(2460),Ds1_2460,-0.521266997847208,-0.14432316053367236,-0.3769438373135356,constructive,57.09623962430498,,,,
