M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44101759777403493,-0.07208024553569817,40.883360677845424,1.6122510869035531,44.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44126651795499766,-0.07054036769636729,40.92952466570543,1.5441006362282617,44.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44151006144269433,-0.06899963034491724,40.97471671894127,1.4773850222240115,44.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44174822526962443,-0.06745805225474644,41.01893463495605,1.4121074965157092,44.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4419810065338369,-0.06591565220949733,41.06217625863091,1.3482712406378607,45.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4422084023989654,-0.06437244900282765,41.10443948243013,1.2858793658795158,45.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44243041009426315,-0.06282846143818174,41.14572224650377,1.2249349131326388,45.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4426470269146364,-0.061283708328560615,41.186022538788194,1.1654408527438687,45.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4428582502206777,-0.05973820849629344,41.22533839510401,1.1074000843697762,45.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44306407743869747,-0.05819198077280796,41.26366789925181,1.0508154368355294,46.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4432645060607562,-0.05664504399840106,41.30100918310566,0.9956896679970211,46.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44345953364469437,-0.05509741702200904,41.33736042670408,0.9420254646064496,46.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4436491578141623,-0.05354911870097842,41.37271985833871,0.8898254421813865,46.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4438333762586494,-0.0520001679008355,41.40708575464075,0.8390921448772778,46.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44401218673351217,-0.05045058349505688,41.440456440664924,0.7898280453634565,47.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4441855870600012,-0.048900384364839594,41.472830289971036,0.7420355447026349,47.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4443535751252884,-0.04734958939887082,41.50420572470335,0.6957169722338693,47.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44451614888249213,-0.04579821749309801,41.534581215667465,0.6508745854590414,47.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4446733063507024,-0.044246287550498004,41.56395528240476,0.6075105699328126,47.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44482504561500513,-0.04269381848084741,41.5923264932647,0.5656270391561227,48.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44497136482650534,-0.041140829200491946,41.6196934654745,0.5252260344731737,48.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44511226220234945,-0.039587338632116026,41.64605486520651,0.48630952497193985,48.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44524773602574763,-0.03803336570451185,41.67140940764334,0.4488794073881881,48.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.44537778464599387,-0.0364789293523492,41.69575585704032,0.41293750601304485,48.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4455024064784868,-0.034924048515944384,41.71909302678587,0.3784855726040746,49.0
