ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,fB,hard_qcd_side,f1_tensor_matched,input_mc,input_ms,input_m_ds1,input_m_ds1_2536,input_m_ds,input_f_ds1,input_f_ds,input_fT,input_ss,input_chi,input_f3g,input_ec,input_es,input_omegaA,input_omegaV
theta_fixed,5.533518908681456,2.5465140769888444,35.3,-0.3216211764407669,-0.2819907497735788,-0.4169415528716122,0.13402578035834956,0.0004993725885338233,0.0004256501511500614,-0.4159944999145958,-0.09953662709682976,36.32708785485817,3.073728265622308,0.442069231116479,-0.12987409134142067,0.05961285671373725,1.2587786149298126,0.11764870427181877,2.459317125186828,2.5351178679057726,1.9684081469210328,0.28297022676292094,0.24949417682050085,0.24741671598816573,-0.011397708650524302,2.8501886176719275,-0.004304032372312826,0.6666666666666666,-0.3333333333333333,-1.882110211483084,4.422491037072119
theta_fixed,3.4879805210398303,2.5058581267161735,35.3,-0.32767295626718884,-0.263187310819548,-0.4470276782319536,0.19827632901436945,0.0008233846722358703,-0.01525934627419969,-0.40414537367522196,-0.11534142266427802,34.35331814092392,4.127558015349452,0.4207955825725323,-0.07959189015434362,0.05997194886929822,1.2809246045686342,0.07554327427866503,2.459701501582024,2.5351663906226287,1.9684468125385008,0.19580287390827952,0.24981993326721735,0.23205892705003175,-0.01243057050121786,3.129039719896298,-0.0020676382464939742,0.6666666666666666,-0.3333333333333333,-1.3325776940493435,4.3535107788984755
theta_fixed,3.398256956481571,2.5405492330759416,35.3,-0.3414988676726461,-0.26721690011263244,-0.39228448716473896,0.1369751162627341,0.0005901396082642385,-0.012497668818891796,-0.41542348128958706,-0.1242967397832467,36.354548176066366,4.796158372356247,0.4948626002093541,-0.07795078274846122,0.06019820837341666,1.2955097358643723,0.07843648175478235,2.459783914814472,2.535088659362939,1.9682414381446893,0.24453703687732117,0.24935781916605776,0.27641232780811326,-0.010156218621694958,2.997793236714752,-0.00633087720561002,0.6666666666666666,-0.3333333333333333,-1.949647613261043,6.879527848792072
theta_fixed,5.436515219175725,2.596121360237069,35.3,-0.46638360514965443,-0.3042296947187283,-0.42403849483035494,0.11929725541676768,0.00042057738997408313,9.096730488489191e-05,-0.5177966120017599,-0.20483174290265263,56.26100513951236,13.02770668348535,0.4593865067525109,-0.13571012315297895,0.05968182304665631,1.2627126456572688,0.10884053535289105,2.459101798223409,2.5351525849866,1.9682579410196246,0.2194162224663291,0.24979158989304032,0.2562207978151824,-0.009853983354321014,2.969490836895541,-0.0056713671394644305,0.6666666666666666,-0.3333333333333333,-1.9590485398592805,4.843504716431053
theta_fixed,3.83365235482612,2.5421449134766836,35.3,-0.46451652901617585,-0.3213922837018269,-0.4391055238489743,0.12440138207251489,0.0005188118032999906,-0.007206953728667474,-0.5307247418349272,-0.19339041898853535,59.129048989543236,11.60746014523875,0.4344979537746618,-0.09082504867607818,0.06004465105091982,1.284909037555136,0.08663128910794048,2.459223807920378,2.535103241544474,1.96830961742231,0.20237005101614103,0.2499654041784016,0.24232502285283353,-0.008803632411229842,2.933778177010716,-0.0068212233795396406,0.6666666666666666,-0.3333333333333333,-6.0,2.3475153927932384
theta_fixed,4.2954004331251046,2.518253200175318,35.3,-0.40489665851563345,-0.2921004900050643,-0.4223415987591835,0.13327502371481934,0.00042178342795741615,-0.003455698388657517,-0.4723668111846304,-0.16165888787687444,47.19424769380243,8.114420609078616,0.4330812917020533,-0.0985195875947567,0.05987269861274367,1.276222795853578,0.11604676675059052,2.4604674136229914,2.5350864394848345,1.9681971862521346,0.2209696881305473,0.24988323901683845,0.24506152661546943,-0.007858049441485177,3.8828716968657866,-0.0061096704069236694,0.6666666666666666,-0.3333333333333333,-0.4746170302643875,4.558007869714164
theta_fixed,3.5425551491484066,2.587355659321115,35.3,-0.38473293352091076,-0.2750512955467603,-0.4580602858373167,0.1941574433979201,0.000702275609161931,-0.011850728716525526,-0.4468005604824494,-0.15505452095997035,42.16588335980504,7.467941467942015,0.447877170509168,-0.08904849116807274,0.0594906589056486,1.2531938938279126,0.09827245477071354,2.460274037024353,2.535223772944521,1.9682524761982896,0.21494784886176305,0.24985971937880866,0.2460258146611974,-0.011566541830839914,3.4681564667213967,-0.0070344003152454085,0.6666666666666666,-0.3333333333333333,-1.2065832809595287,2.031066875887931
theta_fixed,3.025601757643991,2.5144532296840123,35.3,-0.3478933622001103,-0.24849590224357038,-0.4278563014332245,0.2029021842630422,0.0008921851109414757,-0.024433970184329558,-0.40383967862160874,-0.14033359849137703,34.25791029333991,6.108896736284492,0.462452356995269,-0.06654340191131115,0.05982158104991082,1.2713894851851513,0.10047037823211112,2.4594355415139844,2.5350883977708296,1.9684076670298438,0.2183838655725924,0.2495685048194588,0.2579534273599963,-0.012810877188680698,3.1001465238125845,-0.00030120913630293507,0.6666666666666666,-0.3333333333333333,-1.9504296527620504,3.618690394713399
theta_fixed,3.3126095708020116,2.518363852854594,35.3,-0.3261148600778427,-0.2914495729489417,-0.43720616342829066,0.15782129887276722,0.0005884416779638716,-0.012653150071382072,-0.42631091041718255,-0.09773823814139662,38.030726822752555,2.9652408541618747,0.4402261362951019,-0.07449182589976563,0.059925445680076836,1.276710657821985,0.10249633910325612,2.4586852936225716,2.5351656586780282,1.9683423563687574,0.2664729285566894,0.2504449766611995,0.2469461907070624,-0.008868905244799852,3.616123361575146,-0.004129439637301998,0.6666666666666666,-0.3333333333333333,-1.3235158685055284,2.7077578402769
theta_fixed,5.360009174450177,2.5764939949495216,35.3,-0.4888263268509869,-0.2811158140081322,-0.38252437311090876,0.10095002592431278,0.0003872944772723892,7.123870119138535e-05,-0.5119012029482457,-0.23650462390452665,55.32724667241976,17.35296241895863,0.4995607741143698,-0.13410234574630098,0.05953638331797183,1.2557714552149026,0.09173465396259586,2.46029914130196,2.535058178106041,1.968349161751141,0.2030790463510558,0.25044587277979236,0.27360949070133195,-0.009852598227372842,2.728638570514998,-0.00556446240691284,0.6666666666666666,-0.3333333333333333,-1.7690702220744523,5.784559857316598
