accepted,M2_GeV2,s0_mix_GeV2,mc_GeV,ms_GeV,ss_GeV3,m0_sq_GeV2,theta_deg,theta_matrix_deg,Pi12_normalized,s01_GeV2,s02_GeV2,m_eff1_GeV,m_eff2_GeV,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2
1,2.5162525394103072,9.036440851914678,1.2852727033327123,0.08764069242195827,-0.009320380847089825,0.8620413618067916,27.201518762726053,31.706431537645297,0.21378992476465222,8.125,9.75,2.4594428671567923,2.5357797930578587,0.4093137169180961,0.16066515381670052,0.5626973726254462,0.6311884517054314,0.01287341387500148,0.06988913923517061
1,2.4913668644944464,10.559681067082638,1.2827078514359718,0.09749094023596849,-0.012514839523042682,0.46251270230273644,25.971253442686592,30.1645707353871,0.19186918410008605,7.65,9.075,2.459434065621555,2.534687102843548,0.3756559681350554,0.15175214396162232,0.5171006008040666,0.6009334078435175,0.011067236275088675,0.0572431155225001
1,2.507071297474979,9.093552419134996,1.244445171731967,0.10868310715603005,-0.01118853277953997,0.5806348183398474,25.94403624322301,30.98921944387849,0.22382128941026327,8.025,9.525,2.4596315693389483,2.5357790042944264,0.4080181020925126,0.1681224033433212,0.5580161202756291,0.6416570738182062,0.01096495964419138,0.053541398095681356
1,2.1585020104072403,10.69555424890829,1.2815672330324523,0.06831283751575518,-0.011559297816510892,0.6045636384038093,26.393337648192297,30.010048378189047,0.17405242649663033,7.95,9.95,2.4589035659028076,2.534971464210174,0.4110450499900222,0.16078804540146438,0.6450977442704567,0.75293376537098,0.015011587065805132,0.08960697744971541
1,2.1616311494243203,9.246603869287174,1.2734203915554196,0.09097857366342106,-0.01118741362712661,1.096294842352175,26.528827646014285,31.174367975565556,0.20443174825414964,7.75,11.1,2.4595832011693965,2.534531699535087,0.39117173119430093,0.1767710341885208,0.6211436746176591,0.823483150621374,0.028789994814412363,0.12990745557485586
1,2.4287023673131216,10.083591619695328,1.287375098425924,0.0951378304587996,-0.008644838704696105,0.8756561539240558,26.792684919871657,31.24642687284923,0.20529128925877876,8.175,9.9,2.4587694709778987,2.534873047398016,0.40695715638325036,0.1628739017129809,0.5868647481202035,0.6726938629498901,0.012874801513562939,0.06908973164450674
1,2.50906267972564,9.164672305201103,1.2389569181468374,0.07418246818442625,-0.007539018256833146,0.6546507050051984,26.094768414037212,30.89244108486256,0.23088137476041815,8.725,9.85,2.4597599268725996,2.5352629919867473,0.4702986374942059,0.17337896126932906,0.6309539303427587,0.6596509842340825,0.006567701081484664,0.039045969513818786
1,2.1221844908467706,10.030672895914964,1.2508760814071365,0.08864996916026004,-0.010183011001406917,0.7005138257670377,26.497960298628534,30.515505288598593,0.18341716030390784,8.3,10.5,2.4593140320193694,2.5343667972786323,0.4314780323456755,0.17492777472850965,0.6914268869670762,0.8026905715243354,0.01500140589037464,0.08341685615481734
1,2.538744676004145,10.289697588839077,1.2857766998248026,0.10107094941350984,-0.007432180520111,0.8451831158503202,26.982022780139076,31.274309598375567,0.1972694957738114,8.3,9.7,2.4587775509076164,2.534307660448208,0.41233774291797837,0.1612593883928054,0.5704651285709296,0.6262379119732101,0.009608662696671424,0.052762042190571276
1,2.3984772581381586,9.354268778390749,1.2574420856340658,0.08598744441538059,-0.009060056164690185,1.2166556891148776,27.644925136959408,31.07706297290669,0.15785828569006732,8.325,10.45,2.460078509945174,2.535917066460233,0.43288523852269867,0.1756813326907434,0.6194133726144058,0.7135946175701442,0.018138470256266703,0.0930256804679709
1,2.2728590878767982,9.11598235165075,1.2901043781616957,0.10661684870850277,-0.009126713841125397,0.7886409281042073,26.654891404833187,32.18386271890054,0.24993245142667211,8.025,10.05,2.458694160337268,2.5352235744684353,0.3910733151657667,0.1634196877580808,0.6099259896888214,0.7289190878209217,0.014639544060687404,0.07627883891667926
1,2.4468724528743144,10.271633389913223,1.2775886653821062,0.08301613958845443,-0.00949616710206556,0.5997286921101362,27.281861405713734,30.600884910953646,0.15858865382797185,8.225,9.55,2.458810251515665,2.534496155101638,0.4207275327738176,0.1582002303233604,0.5928924957219094,0.6334481799386182,0.009244393349400923,0.05514642918122406
1,2.120145391465348,10.183659918180398,1.2605669838945615,0.10615656939552692,-0.010790170941052887,0.7381354091198895,28.340606234968106,30.69143943650715,0.10422058940772384,7.9,10.425,2.4602313637964857,2.5345984055666,0.39799374989463165,0.1704505071144523,0.6507696201915306,0.7827162041908957,0.019003791745173984,0.09701604372070795
