sector,state,scan,M2_GeV2,s0_GeV2,theta_deg,width_keV
Ds,Ds1_2536,M2,4.4,8.0,26.6,0.10629238442685328
Ds,Ds1_2460,M2,4.4,8.0,27.200000000000003,36.77035609680588
Ds,Ds1_2536,M2,4.4,8.0,27.200000000000003,0.26425896084416983
Ds,Ds1_2460,M2,4.45,8.0,26.0,36.93511419584289
Ds,Ds1_2536,M2,4.45,8.0,26.0,0.011675125668138898
Ds,Ds1_2460,M2,4.45,8.0,26.6,36.92641702090966
Ds,Ds1_2536,M2,4.45,8.0,26.6,0.08784311964700274
Ds,Ds1_2460,M2,4.45,8.0,27.200000000000003,36.90962347231707
Ds,Ds1_2536,M2,4.45,8.0,27.200000000000003,0.23491741881915842
Ds,Ds1_2460,M2,4.5,8.0,26.0,37.07018767907545
Ds,Ds1_2536,M2,4.5,8.0,26.0,0.0062447517879116185
Ds,Ds1_2460,M2,4.5,8.0,26.6,37.06271623594763
Ds,Ds1_2536,M2,4.5,8.0,26.6,0.07161637955328927
Ds,Ds1_2460,M2,4.5,8.0,27.200000000000003,37.04711812182459
Ds,Ds1_2536,M2,4.5,8.0,27.200000000000003,0.20809257201679018
Ds,Ds1_2460,M2,3.0,8.5,26.0,36.38703180365243
Ds,Ds1_2536,M2,3.0,8.5,26.0,1.5971240897855348
Ds,Ds1_2460,M2,3.0,8.5,26.6,36.33020835762201
Ds,Ds1_2536,M2,3.0,8.5,26.6,2.1156082428558554
