input_set,transition_scheme,M2,s0_root,s0,g1_GeV_inv,width_keV,qcd_side,pert,heavy_local,legacy_heavy_local_diagnostic,twist2,twist4_2p,twist3_2p
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,6.0,2.55,6.5024999999999995,-0.31095250400778474,20.324640214356094,-0.05258631140450985,-0.09755238354392946,-0.005635706543584311,-0.005635706543584311,0.04444029519296678,0.0061614834900372,-5.924717096806923e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.0,2.6,6.760000000000001,-0.2958553026384259,18.398968031656963,-0.021883311786465427,-0.047880823647751695,-0.004049880333831748,-0.004049880333831748,0.024440463922142712,0.005606928272975349,-4.3727099313716314e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.25,2.6,6.760000000000001,-0.3044922246203364,19.488892675719054,-0.025577787117219978,-0.053870272140077995,-0.004261051931028792,-0.004261051931028792,0.02684916772191249,0.005704369231974364,-4.5818997639189385e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.5,2.6,6.760000000000001,-0.3114684700054039,20.392145853091172,-0.02917834303402448,-0.059642158657292506,-0.004450808778064736,-0.004450808778064736,0.02912950667276123,0.00578511772857157,-4.769152674713338e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.75,2.6,6.760000000000001,-0.31723400152455195,21.154083211645137,-0.03266415320129538,-0.06517920655254592,-0.004622094433858464,-0.004622094433858464,0.03128440271569417,0.005852745069414884,-4.937617554780172e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.0,2.6,6.760000000000001,-0.3220885418858655,21.806466585515693,-0.03602313003666471,-0.07047448814202405,-0.004777373973040371,-0.004777373973040371,0.03331880667535681,0.005909925403042943,-5.089898750444347e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.25,2.6,6.760000000000001,-0.3262393550877281,22.37213593628578,-0.039249287885514114,-0.07552803957659511,-0.0049187163710853535,-0.0049187163710853535,0.035238777711740915,0.005958690350425499,-5.22816004895553e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.5,2.6,6.760000000000001,-0.32983438992319863,22.867917657648967,-0.042340852588877334,-0.08034448049746856,-0.005047864420730654,-0.005047864420730654,0.03705088821242501,0.006000604116896929,-5.354208774780749e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.75,2.6,6.760000000000001,-0.33298216125260105,23.30647993128198,-0.0452989136235928,-0.08493135141606653,-0.005166292524241334,-0.005166292524241334,0.03876184443450806,0.00603688588220706,-5.46956302761514e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.0,2.6,6.760000000000001,-0.33576414603466226,23.697546685293286,-0.04812646660646806,-0.08929795927944868,-0.005275253869198157,-0.005275253869198157,0.040378249873024026,0.006068496669154803,-5.575505235863149e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.25,2.6,6.760000000000001,-0.3382427772567395,24.04871152291915,-0.05082773525849946,-0.09345458123024397,-0.005375818737038458,-0.005375818737038458,0.041906462808442305,0.006096201900340727,-5.67312482450348e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.5,2.6,6.760000000000001,-0.3404667539642496,24.365996078248905,-0.053407693029244474,-0.09741192025545158,-0.005468905576442396,-0.005468905576442396,0.04335251574018861,0.006120617062460937,-5.763352301164061e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.75,2.6,6.760000000000001,-0.34247466204785365,24.654241241449,-0.055871727302865486,-0.10118073772524568,-0.005555306240990668,-0.005555306240990668,0.04472207519894293,0.006142241464427983,-5.846986596201886e-17
