fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_twist2_only,G2460_using_partial_GB,G2536_using_partial_GB,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,5.75,2.55,6.5024999999999995,-0.36424886062550854,0.2139513272830605,-0.03587026064220625,-0.42091059301783396,0.27046047997285977,54.97685286280713,0.256
fB_converted_fT_M_over_msum,5.75,2.55,6.5024999999999995,-0.36424886062550854,0.11856704984216766,-0.11371695496435393,-0.36579206105230244,2.7182236924116796,41.52108701798106,0.4619457079970653
fB_equal_fT,6.0,2.55,6.5024999999999995,-0.36508853231846006,0.21203826199777207,-0.037916795823558586,-0.4204904012887306,0.3022024699533404,54.867141733815124,0.256
fB_converted_fT_M_over_msum,6.0,2.55,6.5024999999999995,-0.36508853231846006,0.1175068717637582,-0.11506741683607387,-0.36586471669843323,2.783168349986432,41.537582952844225,0.4619457079970653
fB_equal_fT,3.0,2.6,6.760000000000001,-0.3662552574727554,0.2726277335280253,0.010858348429403142,-0.4564546976255672,0.024783480473810786,64.65401887321589,0.256
fB_converted_fT_M_over_msum,3.0,2.6,6.760000000000001,-0.3662552574727554,0.15108420443126586,-0.08833789449746393,-0.38621984264252635,1.640320970963963,46.288097255750976,0.4619457079970653
fB_equal_fT,3.25,2.6,6.760000000000001,-0.3721015285642599,0.26265928224248025,-0.0006555917040517723,-0.45546571364649524,9.034448535451157e-05,64.37415531175746,0.256
fB_converted_fT_M_over_msum,3.25,2.6,6.760000000000001,-0.3721015285642599,0.14555991124069956,-0.09622479015334767,-0.3877989493026035,1.9462951256222378,46.66738004286672,0.4619457079970653
fB_equal_fT,3.5,2.6,6.760000000000001,-0.3767966647571566,0.2546658018855311,-0.009892491745509685,-0.4546784972144413,0.0205705613241158,64.15182200591333,0.256
fB_converted_fT_M_over_msum,3.5,2.6,6.760000000000001,-0.3767966647571566,0.14113010285423006,-0.10255324354098212,-0.389071027889493,2.210719037310283,46.97404379413249,0.4619457079970653
fB_equal_fT,3.75,2.6,6.760000000000001,-0.38066582445271624,0.24812767809132788,-0.017464323772592938,-0.4540581592003671,0.06411184838663245,63.97689107555171,0.256
fB_converted_fT_M_over_msum,3.75,2.6,6.760000000000001,-0.38066582445271624,0.13750682058893265,-0.1077461638271986,-0.3901350532767667,2.440272820450832,47.231322881850595,0.4619457079970653
fB_equal_fT,4.0,2.6,6.760000000000001,-0.3839209214610465,0.24269002859205002,-0.023783176555005753,-0.45357257900633996,0.11889797811649848,63.84012753874859,0.256
fB_converted_fT_M_over_msum,4.0,2.6,6.760000000000001,-0.3839209214610465,0.13449339661352475,-0.11208651503274937,-0.39105033028493297,2.640836308688271,47.45319709255165,0.4619457079970653
fB_equal_fT,4.25,2.6,6.760000000000001,-0.38670583161516653,0.23810291639951203,-0.029136172811032313,-0.4531947511137526,0.17844309954889817,63.73381364018823,0.256
fB_converted_fT_M_over_msum,4.25,2.6,6.760000000000001,-0.38670583161516653,0.13195132142814997,-0.11577047971412502,-0.3918542426190813,2.8172826155233213,47.648504036899936,0.4619457079970653
fB_equal_fT,4.5,2.6,6.760000000000001,-0.38912170420306047,0.23418563720373978,-0.03372924200799468,-0.4529028058954613,0.23913762547891876,63.65172624220406,0.256
fB_converted_fT_M_over_msum,4.5,2.6,6.760000000000001,-0.38912170420306047,0.1297804527378318,-0.1189382376498754,-0.39257147402667003,2.9735671334068057,47.823090789073724,0.4619457079970653
fB_equal_fT,4.75,2.6,6.760000000000001,-0.3912418119815989,0.23080454888169324,-0.0377137957273411,-0.4526793178829392,0.29897525055987295,63.58892297494219,0.256
fB_converted_fT_M_over_msum,4.75,2.6,6.760000000000001,-0.3912418119815989,0.12790672906108877,-0.12169257442023178,-0.39321902816716275,3.1128837845120367,47.980991113927516,0.4619457079970653
fB_equal_fT,5.0,2.6,6.760000000000001,-0.3931206247492227,0.22785884311689192,-0.0412035832138718,-0.4525104890719387,0.35686562830666274,63.54150026362615,0.256
fB_converted_fT_M_over_msum,5.0,2.6,6.760000000000001,-0.3931206247492227,0.12627428467913138,-0.1241105599266229,-0.393809077459047,3.237816407870712,48.125095997518336,0.4619457079970653
fB_equal_fT,5.25,2.6,6.760000000000001,-0.394799554462946,0.22527114603038995,-0.04428568241378597,-0.45238540623138057,0.41225072889597164,63.50637686625607,0.256
fB_converted_fT_M_over_msum,5.25,2.6,6.760000000000001,-0.394799554462946,0.12484024071535736,-0.12625111944716544,-0.39435064187135105,3.3504660753406825,48.25754982639901,0.4619457079970653
fB_equal_fT,5.5,2.6,6.760000000000001,-0.3963107091294053,0.22298114903893673,-0.04702786728531766,-0.4522954241377765,0.4648847688684381,63.48111580190013,0.256
fB_converted_fT_M_over_msum,5.5,2.6,6.760000000000001,-0.3963107091294053,0.12357117549911392,-0.12816008352004116,-0.39485061298802737,3.452552674462657,48.3799925120057,0.4619457079970653
fB_equal_fT,5.75,2.6,6.760000000000001,-0.3976794151428595,0.22094119478272378,-0.04948366784127109,-0.452233673444779,0.5147051524114878,63.46378316889062,0.256
fB_converted_fT_M_over_msum,5.75,2.6,6.760000000000001,-0.3976794151428595,0.1224406783853842,-0.12987364191544715,-0.39531439903886384,3.5454942716394005,48.49371219529704,0.4619457079970653
fB_equal_fT,6.0,2.6,6.760000000000001,-0.39892595494542443,0.21911315596315098,-0.051695921567059905,-0.4521946752656242,0.5617554741489206,63.452838095946674,0.256
fB_converted_fT_M_over_msum,6.0,2.6,6.760000000000001,-0.39892595494542443,0.1214276200763467,-0.13142075941140535,-0.39574634356144583,3.6304686803939545,48.59974444291288,0.4619457079970653
