fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,False,5.0,2.55,6.5024999999999995,-0.3252939534648347,0.25357008301238665,-1.0146796148717942e-15,0.25357008301238665,0.01897448529064752,-0.412012029032704,0.07567889067776588,52.67686921215533,0.256
fB_equal_fT,True,5.0,2.55,6.5024999999999995,-0.3252939534648347,0.25357008301238665,-1.0146796148717942e-15,0.25357008301238565,0.018974485290646714,-0.4120120290327034,0.07567889067775946,52.676869212155175,0.256
fB_converted_fT_M_over_msum,False,5.0,2.55,6.5024999999999995,-0.3252939534648347,0.14052287991294285,-5.623127932792255e-16,0.14052287991294285,-0.07328758661223497,-0.3466868408064598,1.1290042858266678,37.29708399152105,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.0,2.55,6.5024999999999995,-0.3252939534648347,0.14052287991294285,-5.623127932792255e-16,0.1405228799129423,-0.07328758661223542,-0.34668684080645945,1.1290042858266818,37.29708399152097,0.4619457079970653
fB_equal_fT,False,5.25,2.55,6.5024999999999995,-0.32754689020789035,0.2494935021705094,-9.82828050726377e-16,0.2494935021705094,0.014345557752362431,-0.41149505207589,0.04325831771647492,52.54475830116801,0.256
fB_equal_fT,True,5.25,2.55,6.5024999999999995,-0.32754689020789035,0.2494935021705094,-9.82828050726377e-16,0.24949350217050842,0.014345557752361654,-0.41149505207588943,0.04325831771647023,52.544758301167874,0.256
fB_converted_fT_M_over_msum,False,5.25,2.55,6.5024999999999995,-0.32754689020789035,0.1382637298062225,-5.446613674080307e-16,0.1382637298062225,-0.07643324061019148,-0.3472200800567451,1.2280026273021245,37.411905564435926,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.25,2.55,6.5024999999999995,-0.32754689020789035,0.1382637298062225,-5.446613674080307e-16,0.13826372980622195,-0.07643324061019192,-0.34722008005674476,1.2280026273021385,37.41190556443586,0.4619457079970653
fB_equal_fT,False,5.5,2.55,6.5024999999999995,-0.32954407789415063,0.2458961049358388,-9.547405497242972e-16,0.2458961049358388,0.010255496510866963,-0.41104624860110167,0.02210793260889651,52.43020329107082,0.256
fB_equal_fT,True,5.5,2.55,6.5024999999999995,-0.32954407789415063,0.2458961049358388,-9.547405497242972e-16,0.24589610493583786,0.010255496510866213,-0.4110462486011011,0.02210793260889328,52.430203291070676,0.256
fB_converted_fT_M_over_msum,False,5.5,2.55,6.5024999999999995,-0.32954407789415063,0.13627013255846646,-5.290959013109237e-16,0.13627013255846646,-0.07921438039539591,-0.3476980446323815,1.3189939660080248,37.51497490862199,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.5,2.55,6.5024999999999995,-0.32954407789415063,0.13627013255846646,-5.290959013109237e-16,0.13627013255846593,-0.07921438039539634,-0.3476980446323812,1.318993966008039,37.51497490862191,0.4619457079970653
fB_equal_fT,False,5.75,2.55,6.5024999999999995,-0.33132735760021853,0.24269941341154996,-9.297970527278899e-16,0.24269941341154996,0.006616074619444523,-0.41065441763273836,0.009201010772945353,52.33029246258981,0.256
fB_equal_fT,True,5.75,2.55,6.5024999999999995,-0.33132735760021853,0.24269941341154996,-9.297970527278899e-16,0.24269941341154905,0.006616074619443774,-0.4106544176327378,0.00920101077294327,52.330292462589675,0.256
fB_converted_fT_M_over_msum,False,5.75,2.55,6.5024999999999995,-0.33132735760021853,0.13449859747100731,-5.1527277205452885e-16,0.13449859747100731,-0.08169067854697695,-0.3481297511769795,1.402748317820955,37.60819093148257,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.75,2.55,6.5024999999999995,-0.33132735760021853,0.13449859747100731,-5.1527277205452885e-16,0.1344985974710068,-0.08169067854697738,-0.3481297511769792,1.4027483178209696,37.60819093148251,0.4619457079970653
fB_equal_fT,False,6.0,2.55,6.5024999999999995,-0.33292986670007707,0.23984100541895723,-9.0750507499123e-16,0.23984100541895723,0.0033571983074067724,-0.4103105326954599,0.002369129173247362,52.242685639201156,0.256
fB_equal_fT,True,6.0,2.55,6.5024999999999995,-0.33292986670007707,0.23984100541895723,-9.0750507499123e-16,0.2398410054189563,0.003357198307406023,-0.4103105326954594,0.0023691291732463047,52.24268563920103,0.256
fB_converted_fT_M_over_msum,False,6.0,2.55,6.5024999999999995,-0.33292986670007707,0.1329145315657811,-5.02919055585707e-16,0.1329145315657811,-0.08390951637889366,-0.3485222545309586,1.479984563523987,37.693042412629715,0.4619457079970653
fB_converted_fT_M_over_msum,True,6.0,2.55,6.5024999999999995,-0.33292986670007707,0.1329145315657811,-5.02919055585707e-16,0.1329145315657806,-0.08390951637889407,-0.3485222545309583,1.4799845635240014,37.69304241262966,0.4619457079970653
fB_equal_fT,False,3.0,2.6,6.760000000000001,-0.3111130885937285,0.331504090159276,-1.5858000506455492e-15,0.331504090159276,0.09077387895492076,-0.4454732523801356,1.7320344982553628,61.5805309589381,0.256
fB_equal_fT,True,3.0,2.6,6.760000000000001,-0.3111130885937285,0.331504090159276,-1.5858000506455492e-15,0.3315040901592744,0.09077387895491942,-0.4454732523801347,1.7320344982553122,61.58053095893786,0.256
