fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_converted_fT_M_over_msum,False,5.75,2.55,6.5024999999999995,-0.36424886062550854,0.13449859747100731,-5.1527277205452885e-16,0.13449859747100731,-0.10071462007630544,-0.37499822731785637,2.1321599786832963,43.6373725258474,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.75,2.55,6.5024999999999995,-0.36424886062550854,0.13449859747100731,-5.1527277205452885e-16,0.1344985974710068,-0.10071462007630587,-0.37499822731785604,2.132159978683314,43.637372525847326,0.4619457079970653
fB_equal_fT,False,6.0,2.55,6.5024999999999995,-0.36508853231846006,0.23984100541895723,-9.0750507499123e-16,0.23984100541895723,-0.015225931810175508,-0.4365564285534408,0.04873068436546036,59.13994814039415,0.256
fB_equal_fT,True,6.0,2.55,6.5024999999999995,-0.36508853231846006,0.23984100541895723,-9.0750507499123e-16,0.2398410054189563,-0.015225931810176258,-0.43655642855344023,0.04873068436546515,59.139948140394,0.256
fB_converted_fT_M_over_msum,False,6.0,2.55,6.5024999999999995,-0.36508853231846006,0.1329145315657811,-5.02919055585707e-16,0.1329145315657811,-0.10249264649647594,-0.3747681503889394,2.2081072532851436,43.5838422851028,0.4619457079970653
fB_converted_fT_M_over_msum,True,6.0,2.55,6.5024999999999995,-0.36508853231846006,0.1329145315657811,-5.02919055585707e-16,0.1329145315657806,-0.10249264649647635,-0.3747681503889391,2.2081072532851613,43.58384228510273,0.4619457079970653
fB_equal_fT,False,3.0,2.6,6.760000000000001,-0.3662552574727554,0.331504090159276,-1.5858000506455492e-15,0.331504090159276,0.05890955624313221,-0.49047684920085777,0.7294680117768794,74.65126821498383,0.256
fB_equal_fT,True,3.0,2.6,6.760000000000001,-0.3662552574727554,0.331504090159276,-1.5858000506455492e-15,0.3315040901592744,0.05890955624313088,-0.4904768492008569,0.7294680117768464,74.65126821498357,0.256
fB_converted_fT_M_over_msum,False,3.0,2.6,6.760000000000001,-0.3662552574727554,0.18371216706122914,-8.788149904573626e-16,0.18371216706122914,-0.06170898770742017,-0.40507415961635074,0.800445180406434,50.917754525014196,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.0,2.6,6.760000000000001,-0.3662552574727554,0.18371216706122914,-8.788149904573626e-16,0.18371216706122825,-0.06170898770742089,-0.4050741596163502,0.8004451804064527,50.91775452501406,0.4619457079970653
fB_equal_fT,False,3.25,2.6,6.760000000000001,-0.3721015285642599,0.3152377480927791,-1.4553123585022818e-15,0.3152377480927791,0.04225567070512312,-0.4858485810164782,0.37532262799142835,73.24905750055234,0.256
fB_equal_fT,True,3.25,2.6,6.760000000000001,-0.3721015285642599,0.3152377480927791,-1.4553123585022818e-15,0.31523774809277766,0.042255670705121956,-0.4858485810164774,0.37532262799140753,73.24905750055207,0.256
fB_converted_fT_M_over_msum,False,3.25,2.6,6.760000000000001,-0.3721015285642599,0.1746977233789217,-8.065016241669486e-16,0.1746977233789217,-0.07244432637465059,-0.4046364562045294,1.103172701834676,50.80777548392648,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.25,2.6,6.760000000000001,-0.3721015285642599,0.1746977233789217,-8.065016241669486e-16,0.1746977233789209,-0.07244432637465126,-0.404636456204529,1.1031727018346962,50.80777548392637,0.4619457079970653
fB_equal_fT,False,3.5,2.6,6.760000000000001,-0.3767966647571566,0.3023561436801174,-1.3520459947515797e-15,0.3023561436801174,0.029029388876823103,-0.4822367248298983,0.1771375102151732,72.16402126616586,0.256
fB_equal_fT,True,3.5,2.6,6.760000000000001,-0.3767966647571566,0.3023561436801174,-1.3520459947515797e-15,0.30235614368011604,0.029029388876821993,-0.48223672482989755,0.17713751021515967,72.16402126616565,0.256
fB_converted_fT_M_over_msum,False,3.5,2.6,6.760000000000001,-0.3767966647571566,0.1675590257515755,-7.492737104478158e-16,0.1675590257515755,-0.08098360609912825,-0.40434318248996787,1.378570473887529,50.73415292733593,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.5,2.6,6.760000000000001,-0.3767966647571566,0.1675590257515755,-7.492737104478158e-16,0.16755902575157475,-0.08098360609912886,-0.4043431824899675,1.37857047388755,50.73415292733583,0.4619457079970653
