scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,theta_fixed,3.355346989782878,2.5629716535063025,35.3,-0.4572881636698268,-0.2714893315611308,-0.44054421536076427,0.16836466391043758,0.0006902198891958831,-0.4858201007097166,-0.21632787968829345,49.72822677758476,14.518056258627444,3.1029016067145436,-0.03455151809595941
legacy_chi_condensate,theta_fixed,4.585518510460144,2.5881665560842904,35.3,-0.31312832073975644,-0.23119314700248467,-0.4029625477186678,0.17119480346608787,0.0005745972500952585,-0.369629005387528,-0.12195907037379,28.712485659678567,4.618157615322158,3.372789178949721,-0.04303071085242579
legacy_chi_condensate,theta_fixed,3.235764304368044,2.547140081183716,35.3,-0.2822560184624763,-0.23853575029805835,-0.4320720008311981,0.19284078069032357,0.0006954698428162092,-0.35778178469289357,-0.0925200446958136,26.994729615325127,2.656827184030107,3.7452128683252726,-0.04024655769100849
legacy_chi_condensate,theta_fixed,3.5066337895433466,2.513601519386056,35.3,-0.2850738182587257,-0.2583164719042365,-0.4215212259507883,0.16260642228918165,0.0005983317573701036,-0.3755538622508554,-0.08338931623491538,29.808569400385878,2.1566872394453065,3.531875596078562,-0.035248251480698246
legacy_chi_condensate,theta_fixed,4.827254057363034,2.5371201931254976,35.3,-0.3222714177284945,-0.24805461907097728,-0.3923577145987678,0.14380280021800765,0.0005002953097828385,-0.38867369487213166,-0.11967756532293988,31.804448132173963,4.4422683122689275,3.359091452585556,-0.035595575369656615
legacy_chi_condensate,theta_fixed,4.320341816867866,2.5989053877468553,35.3,-0.439096298013124,-0.2569651661839395,-0.39970524751210484,0.1422514605185524,0.0004886208096130003,-0.46345407510936376,-0.209873713993187,45.18430290126387,13.67332281876397,3.3423402301206218,-0.0357168670224255
legacy_chi_condensate,theta_fixed,4.752476249525245,2.5377611797351096,35.3,-0.3344583346042106,-0.26613265658710755,-0.43402561046264065,0.1672745097181981,0.0006184441573349753,-0.4104701636782855,-0.1191772344798071,35.39700935533348,4.410114882964537,3.0383086612402503,-0.038083878124619046
legacy_chi_condensate,theta_fixed,3.9184473822068253,2.5713640915720415,35.3,-0.39064434457407293,-0.2936980298991034,-0.44974562796481,0.15547575405712125,0.0005718440085853826,-0.46543481526757036,-0.149103888115516,45.60252914899916,6.89609984252346,3.272099493360287,-0.0331856081275451
legacy_chi_condensate,theta_fixed,5.571638567400354,2.562936976632865,35.3,-0.4233384941004897,-0.32239118736854727,-0.4272843304579963,0.10449538843921077,0.00039775465023821863,-0.5077449432330472,-0.15920625270837155,54.09475188271044,7.865943411743122,2.7660396694595613,-0.024788904240132453
legacy_chi_condensate,theta_fixed,3.3957376442889413,2.585982152979079,35.3,-0.43633370079407496,-0.2921447786374392,-0.4232344444537054,0.13053363201420926,0.0005560338020569593,-0.4905690913709889,-0.18729024727735843,50.905818148989475,10.889449952617106,2.9642357850528103,-0.02759496218575796
legacy_chi_condensate,theta_fixed,5.522597379600516,2.5033967413666915,35.3,-0.32938856100750874,-0.25874685583174745,-0.37451876381628313,0.11535899506551374,0.00041291291902197504,-0.40151272672224136,-0.11930754295300514,33.72078482701096,4.4145076721626415,3.077623778807933,-0.03069238239782128
legacy_chi_condensate,theta_fixed,4.148177826707749,2.5897066602149637,35.3,-0.17364551497914216,-0.1929734861953678,-0.4426166281934576,0.24890850283949667,0.000734639158593122,-0.25783530074355204,-0.03020743182144707,13.917824690921648,0.2831072631778915,4.10319508098992,-0.05647259642244087
legacy_chi_condensate,theta_fixed,3.222887312096033,2.5242306470434492,35.3,-0.3408954601575221,-0.24754329723540697,-0.4189678233825321,0.17066657773343363,0.0007579484136914684,-0.39901843081594945,-0.1351728176497152,33.39995322204513,5.667989858105896,3.0163576137511257,-0.03402974802259412
legacy_chi_condensate,theta_fixed,3.2494957516563208,2.539866249654572,35.3,-0.3701412689808113,-0.2834147072598335,-0.46066501850713787,0.17647251324868032,0.0007777979986240413,-0.44519435055586226,-0.13831285380269778,41.842401550358666,5.933303927835559,2.9618378579616937,-0.032951182635341816
legacy_chi_condensate,theta_fixed,4.686901731446155,2.5646505857384727,35.3,-0.20895055748060246,-0.18542310905748396,-0.44738857962554507,0.2611510990900937,0.0008143714779674078,-0.2720744421306957,-0.06338424712236358,15.49900791172194,1.2464075588683603,3.6664722008698027,-0.05952506739900929
legacy_chi_condensate,theta_fixed,4.7265084602744665,2.588306835416614,35.3,-0.4126870830276615,-0.2870225338636217,-0.4483860495443784,0.16084434999593805,0.0005191656848186609,-0.4727242564982803,-0.17095128183644,46.92516492289933,9.063780910281315,3.4456342698392564,-0.03699439057321646
legacy_chi_condensate,theta_fixed,4.031160203506258,2.5430123286562334,35.3,-0.21936953223374567,-0.20722258509360733,-0.45189265834731557,0.24379018185190277,0.000879891401805465,-0.2958864979671907,-0.059290570633460535,18.38777192870612,1.0901112561678015,3.346374187365452,-0.051743188347168234
legacy_chi_condensate,theta_fixed,4.919873425986521,2.5163750058427063,35.3,-0.31827587973217886,-0.2691516126803417,-0.4093016587376534,0.1396132244038128,0.0005368216534988797,-0.4035828922997299,-0.10422559796281175,34.23459506808511,3.37018582384559,2.9294544797393947,-0.03312909638709041
legacy_chi_condensate,theta_fixed,3.16952393420363,2.510266977329936,35.3,-0.2999310311870387,-0.20849782531691435,-0.3814649084375477,0.1722748443698361,0.0006922387507972714,-0.3434803458517379,-0.12430293095648794,24.94220310300576,4.797210417427554,3.385051753766552,-0.039055794630319045
legacy_chi_condensate,theta_fixed,5.613847231906117,2.5447826243048524,35.3,-0.3461119339924411,-0.26973236397932465,-0.3998583502494238,0.12965991771386678,0.00046606855623234787,-0.4201421414523633,-0.12660805663813487,36.769160804388584,4.971936006691899,3.0301242634330725,-0.032531451143904246
legacy_chi_condensate,theta_fixed,5.757999780954428,2.56629673618706,35.3,-0.4586912809258095,-0.3131690144953785,-0.41462044428414907,0.10109873450791103,0.00035269528085955603,-0.5206472586992523,-0.19338809385874903,56.67795677642295,11.605399809703373,2.9973118658299676,-0.025318807162800494
