fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_hard_candidate,GB_soft2p_tensor_DA,GB_stage1_candidate,hard_qcd_side,G2460_candidate,G2536_candidate,Gamma2460_keV_candidate,Gamma2536_keV_candidate,fB
fB_converted_fT_M_over_msum,3.5,2.6,6.760000000000001,-0.3767966647571566,-0.44611276129700733,0.1675590257515755,-0.27855373554543184,-0.0872329149744389,-0.4450730000080736,-0.14655352203971345,41.63870820899799,6.664885361391458,0.4619457079970653
fB_equal_fT,3.75,2.6,6.760000000000001,-0.38066582445271624,-0.7958128077286064,0.2919299692095242,-0.5038828385190822,-0.09478526530785206,-0.6312083745139494,-0.019503148560462924,83.74912033446073,0.11803467850653658,0.256
fB_converted_fT_M_over_msum,3.75,2.6,6.760000000000001,-0.38066582445271624,-0.44102169422000015,0.16178107258897392,-0.27924062163102625,-0.09478526530785206,-0.4478694169926667,-0.1493143663476391,42.16358834155734,6.918363151417273,0.4619457079970653
fB_equal_fT,4.0,2.6,6.760000000000001,-0.3839209214610465,-0.7882540679766341,0.2833358376934981,-0.504918230283136,-0.10197897027017958,-0.6339343792774247,-0.02156144656323633,84.4740583797269,0.14426332993904412,0.256
fB_converted_fT_M_over_msum,4.0,2.6,6.760000000000001,-0.3839209214610465,-0.4368328093726985,0.157018396737645,-0.2798144126350535,-0.10197897027017958,-0.4502186920242748,-0.15163940386901506,42.607082147731994,7.135498193853549,0.4619457079970653
fB_equal_fT,4.25,2.6,6.760000000000001,-0.38670583161516653,-0.7819470313816349,0.2761414561866838,-0.5058055751949511,-0.10882057041391752,-0.6362678563811046,-0.023321557402259385,85.09709154606205,0.16877777672808597,0.256
fB_converted_fT_M_over_msum,4.25,2.6,6.760000000000001,-0.38670583161516653,-0.4333375904749616,0.15303143109674727,-0.28030615937821435,-0.10882057041391752,-0.45222930659194915,-0.1536281141259871,42.98848660196789,7.323885776318821,0.4619457079970653
fB_equal_fT,4.5,2.6,6.760000000000001,-0.38912170420306047,-0.7766198603384392,0.27003845903585383,-0.5065814013025853,-0.11532152782844518,-0.6382970676253642,-0.02484492480259165,85.64074727932974,0.19154708045894606,0.256
fB_converted_fT_M_over_msum,4.5,2.6,6.760000000000001,-0.38912170420306047,-0.4303853911938575,0.14964928630448007,-0.2807361048893774,-0.11532152782844518,-0.45397623167974915,-0.15535135126611657,43.32125014792536,7.489110421261853,0.4619457079970653
fB_equal_fT,4.75,2.6,6.760000000000001,-0.3912418119815989,-0.7720718978993298,0.2648014687735725,-0.5072704291257573,-0.12149622808644521,-0.6400845295768091,-0.02617706447464596,86.12106882250359,0.21263857296074506,0.256
