M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4208241225045044,-0.13877272812373342,37.22511110770609,5.975970100915391,35.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42130596591975966,-0.1373029323540037,37.31040537888267,5.850052837477668,35.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42178267585477613,-0.13583146359137346,37.39488699070949,5.725335277607563,35.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42225424650099397,-0.1343583397652251,37.478551825672,5.601823499862983,36.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42272067211247333,-0.13288357882510757,37.56139580606414,5.479523524033728,36.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4231819470059656,-0.1314071987405176,37.643414894187224,5.358441310848087,36.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4236380655609817,-0.12992921750068054,37.72460509254658,5.238582761682305,36.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42408902221986094,-0.12844965311433146,37.80496244404649,5.1199537182729795,36.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4245348114878388,-0.12696852360949532,37.88448303218302,5.002559962432311,37.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42497542793311366,-0.1254858470332679,37.96316298123489,4.886407215766356,37.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42541086618691326,-0.12400164145159523,38.04099845645236,4.771501139396111,37.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4258411209435598,-0.12251592494905411,38.1179856642442,4.657847333681642,37.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4262661869605349,-0.12102871562863113,38.1941208523625,4.5454513379490855,37.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4266860590585434,-0.11954003161150245,38.26940031008563,4.434318630220704,38.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4271007321215762,-0.11804989103681318,38.343820368398994,4.324454626947897,38.2
