M2,s0_root,s0,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
9.5,6.05,36.6025,35.3,0.698383261581857,0.6992424724582033,0.1959695670232685,0.5027558200863188,0.0005170853486159032,0.974244158800627,0.16591423805699307,201.38374053461035,5.8405815997392745,0.22683827574263177,0.014775528247188446,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.16591423805699307,5.8405815997392745
10.0,6.05,36.6025,35.3,0.6697390237389517,0.6740887098659818,0.1920166272336588,0.48159151700365327,0.0004805656286697613,0.9371629363849854,0.15707189231004903,186.3455349241367,5.234626914600669,0.22683827574263177,0.017078136002043304,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.15707189231004903,5.234626914600669
10.5,6.05,36.6025,35.3,0.6454135767313683,0.65261099865583,0.18859864456662653,0.46356260255064863,0.00044975153855489596,0.9055775238976256,0.14963003978875067,173.99631552387498,4.7503582668997435,0.22683827574263177,0.019478449063265676,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.14963003978875067,4.7503582668997435
11.0,6.05,36.6025,35.3,0.6245328939300342,0.6340829557505089,0.1856172420315324,0.44804225704922535,0.00042345666975104006,0.8783900298528905,0.14329510050578614,163.7056156445832,4.356637896148629,0.22683827574263177,0.02196074199345691,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.14329510050578614,4.356637896148629
11.5,6.05,36.6025,35.3,0.6064383874178235,0.6179538296765842,0.182996299579108,0.4345567368459764,0.00040079325149972364,0.8547703952212806,0.1378478320436809,155.01999771865098,4.031704213939658,0.22683827574263177,0.024510509213162727,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.1378478320436809,4.031704213939658
12.0,6.05,36.6025,35.3,0.5906254902126457,0.6037992263028984,0.18067608117445552,0.4227420595291062,0.0003810855993366722,0.8340806881217355,0.13312167770607053,147.60630671076962,3.7599870283958037,0.22683827574263177,0.027114519291306094,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.13312167770607053,3.7599870283958037
12.5,6.05,36.6025,35.3,0.576701851692318,0.5912873572340348,0.1786091101683377,0.41231443549763513,0.0003638115680619466,0.8158234007743435,0.12898815185567403,141.21508723225094,3.530111496018124,0.22683827574263177,0.02976081205147091,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.12898815185567403,3.530111496018124
13.0,6.05,36.6025,35.3,0.5643582802309365,0.5801554403268055,0.1767572189609252,0.40304965926428055,0.0003485621015997872,0.7996053980556228,0.12534676224904595,135.65637781411394,3.3336117864300308,0.22683827574263177,0.032438657688443145,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.12534676224904595,3.3336117864300308
13.5,6.05,36.6025,35.3,0.5533481614112423,0.5701928903296175,0.1750894034378148,0.3947684741437495,0.00033501274805320633,0.7851123054045361,0.12211792588322151,130.78331779717053,3.1640812039324384,0.22683827574263177,0.035138491979626436,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.12211792588322151,3.1640812039324384
14.0,6.05,36.6025,35.3,0.5434726286284933,0.5612291437708314,0.17358023906750772,0.38732600145214546,0.00032290325117823835,0.7720900029765984,0.11923790164918702,126.48081067417291,3.0165979491163344,0.22683827574263177,0.03785183772138837,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.11923790164918702,3.0165979491163344
