sector,state,label,M2,s0,combo,theta_deg,theta_reference_deg,sqrt_s0,f1_GeV,f2_GeV,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,Gamma_keV,two_point_source_theta_deg,normalization_scheme,m_initial,m_sigma,quoted_combo,window_id
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.25,35.3,3.082207001484488,0.41768104245337717,0.1725381559936668,0.006032728674346455,-0.5213585796633651,0.5273913083377115,0.011293479031740395,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.375,35.3,3.0,0.4177065616913641,0.1725278387188095,-0.4640117472092713,-0.11414319627414746,-0.3498685509351238,45.25772308131161,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.375,35.3,3.082207001484488,0.4177065616913641,0.1725278387188095,0.008669507164739132,-0.5207251488932361,0.5293946560579752,0.023323245483003626,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.5,35.3,3.0,0.4177303208037574,0.17252352628358972,-0.4639617501133004,-0.11456128012247553,-0.34940046999082486,45.24797060055038,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.5,35.3,3.082207001484488,0.4177303208037574,0.17252352628358972,0.011306166234630544,-0.5200710615636485,0.531377227798279,0.03966714072106404,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.625,35.3,3.0,0.417752319638569,0.17252521922040065,-0.4639115053062874,-0.11497925565959283,-0.34893224964669456,45.23817085974496,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.625,35.3,3.082207001484488,0.417752319638569,0.17252521922040065,0.013942417972319099,-0.519396385995616,0.5333388039679351,0.06032208715940789,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.75,35.3,3.0,0.4177725580550794,0.17253291732023418,-0.46386101247134337,-0.11539712620684606,-0.3484638862644973,45.228323812796695,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.75,35.3,3.082207001484488,0.4177725580550794,0.17253291732023418,0.01657797458138388,-0.5187011970608515,0.5352791716422354,0.0852831243718613,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.875,35.3,3.0,0.4177910359238363,0.17254661963279036,-0.4638102712833052,-0.11581489508230022,-0.34799537620100496,45.21842941209795,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.875,35.3,3.082207001484488,0.4177910359238363,0.17254661963279036,0.01921254853751375,-0.517985576140302,0.5371981246778158,0.1145434128901321,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,31.0,35.3,3.0,0.41780775312665447,0.17256632446697667,-0.4637592814087295,-0.1162325656008323,-0.34752671580789724,45.20848760853221,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,31.0,35.3,3.082207001484488,0.41780775312665447,0.17256632446697667,0.021845852745048244,-0.51724961107681,0.5390954638218582,0.1480942400483697,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,31.125,35.3,3.0,0.4178227095566144,0.17259202939179488,-0.4637080425058876,-0.1166501410742249,-0.3470579014316627,45.19849835147429,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,31.125,35.3,3.082207001484488,0.4178227095566144,0.17259202939179488,0.024477600693025958,-0.5164933961219714,0.5409709968149974,0.18592502786444076,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,31.25,35.3,3.0,0.4178359051180617,0.17262373123761557,-0.4636565542247585,-0.11706762481125958,-0.3465889294134989,45.1884615887903,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,31.25,35.3,3.082207001484488,0.4178359051180617,0.17262373123761557,0.027107506610546284,-0.5157170318772594,0.5428245384878057,0.2280233429435704,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,31.375,35.3,3.0,0.4178473397266068,0.17266142609783855,-0.4636048162070219,-0.11748502011781002,-0.34611979608921184,45.1783772668374,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,31.375,35.3,3.082207001484488,0.4178473397266068,0.17266142609783855,0.029735285621247498,-0.5149206252294991,0.5446559108507466,0.27437490838587797,26.594403607486143,AA_AB_BB_two_point_projection,,,,
