sector,state,M2,s0,Pi,mass_sr,f,pc,d5frac,offdiag,accepted,rejection_reason
D,Ds1_2536,2.8,9.25,0.017654198295924496,2.5570285498589223,0.16513648267830336,0.4298261493011247,0.058655146032227046,0.33273669141460493,True,
D,Ds1_2536,2.8,9.625,0.019017959211676937,2.597352820530802,0.17139611977468128,0.463029588684751,0.05444903775445828,0.3423444810733123,True,
D,Ds1_2536,2.8,10.0,0.02035033948479923,2.635705360021697,0.17729841746885958,0.4954690046582956,0.05088414273888764,0.3512340865449099,True,
D,Ds1_2536,3.0,8.5,0.017204144004989486,2.4851669589155727,0.15101070243430859,0.32093633756805856,0.06190105377349008,0.3131995407845077,False,PC<0.40
D,Ds1_2536,3.0,8.875,0.01892826117234744,2.5307747227028927,0.1583968545209829,0.3530990449407475,0.056262676929644664,0.32486617904549564,False,PC<0.40
D,Ds1_2536,3.0,9.25,0.02064977965180347,2.574173939638979,0.1654431933103128,0.38521327484327084,0.051572203729869454,0.3356964538985361,False,PC<0.40
D,Ds1_2536,3.0,9.625,0.022357120016566284,2.6155345459459265,0.17214686664997014,0.4170630177592902,0.04763380267183815,0.345745364340623,True,
D,Ds1_2536,3.0,10.0,0.024040126635461043,2.654997426496348,0.17850877458773687,0.44845882450295826,0.044299044648493276,0.35506780057799026,True,
B,Bs1_lower,8.0,40.0,0.12876876690376718,5.649008199900353,0.49279495774692983,0.6012218122399413,0.0015309818623317408,0.4576961480494987,True,
B,Bs1_lower,8.0,40.5,0.13195651964291538,5.666807674724395,0.4988573935913012,0.6161054406607664,0.0014939970158198675,0.4491090637034329,True,
B,Bs1_lower,8.0,41.0,0.1350564191702819,5.684270469601287,0.5046829145754587,0.6305788821358864,0.0014597058605258133,0.4407466107477625,True,
B,Bs1_lower,8.0,41.5,0.13806845262654818,5.701395861966067,0.51027961109596,0.6446420766250989,0.0014278616354000057,0.4326075717769269,True,
B,Bs1_lower,8.0,42.0,0.14099285489128616,5.718183734119756,0.5156553634076393,0.6582961207819271,0.0013982456537708946,0.42469014878385575,True,
B,Bs1_lower,8.6,40.0,0.17019535662615437,5.6618942873792,0.4904825113965656,0.5586056046655681,0.0009896771363460486,0.4514990312559577,True,
B,Bs1_lower,8.6,40.5,0.17472355625710517,5.680612081734162,0.4969645422386492,0.5734678062146377,0.0009640283014690377,0.44249785240158995,True,
B,Bs1_lower,8.6,41.0,0.17914620197206804,5.699008142493255,0.5032148813626712,0.5879835646513091,0.0009402289934755603,0.4337208270673897,True,
B,Bs1_lower,8.6,41.5,0.18346226646745392,5.7170814338270075,0.5092406343052128,0.6021495082176573,0.0009181095186952126,0.42516690729403284,True,
B,Bs1_lower,8.6,42.0,0.18767107193412774,5.734831486798886,0.5150487535754718,0.6159634122467511,0.000897519534733028,0.4168344638978634,True,
B,Bs1_lower,9.2,40.0,0.21713946354745547,5.673357879362413,0.4887361155495586,0.5190104450408235,0.0006320976286142583,0.445987578845585,True,
B,Bs1_lower,9.2,40.5,0.22328391986621487,5.69287714083416,0.49560282858555404,0.5336970292131946,0.0006147031997161145,0.4366296735180988,True,
B,Bs1_lower,9.2,41.0,0.22930794328609158,5.712088404727449,0.5022438205283952,0.5480957526189161,0.0005985546685387926,0.4274954379915776,True,
