input_set,s0_window_label,M2,s0,theta_deg,gA_star,width_A_keV,g1_2460_axial_only,Gamma2460_axial_only_keV,g2_2536_axial_only,Gamma2536_axial_only_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral
project_inputs_printed_chi_sign_diagnostic,rounded_final,4.75,7.5,35.3,0.8835252802826058,24.86909232640667,0.33296857796535473,3.5320632852817564,0.42808072145268444,9.859503693722987,0.09290973850033554,0.020021838609215203,-0.006659559051807978,0.053156980874119394,-0.0009107585981003286,0.013911070568562363,-0.0005209044702154618,0.013911070568562355,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.0,7.5,35.3,0.8751265222834226,24.398530272306093,0.3298033912184983,3.4652311334315433,0.4240114022562413,9.672946490523248,0.09726075911179924,0.020955103420076254,-0.006773798208949616,0.05542986836239908,-0.0008323515568072016,0.01450588046415699,-0.0005298238332332555,0.014505880464156995,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.25,7.5,35.3,0.8677474837333082,23.988809723640095,0.32702249968362646,3.407040070879894,0.4204361518172841,9.510510274116701,0.1013903613197972,0.021841753085733422,-0.006878863480894348,0.057584750142037844,-0.0007588701914424366,0.015069808512938591,-0.0005380252615144836,0.015069808512938612,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.5,7.5,35.3,0.8612187460790255,23.629194803461587,0.3245620556633263,3.355965321559296,0.4172728844070673,9.36793874045228,0.10531184850455894,0.022684472460156275,-0.006975806165083423,0.059629083965205346,-0.0006899233208611963,0.015604806393031275,-0.000545591220920655,0.015604806393031313,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.75,7.5,35.3,0.8554056914089415,23.311286646091734,0.32237132655763096,3.3108140262888472,0.4144563757088471,9.24190210788389,0.10903804348051166,0.023485873563461865,-0.007065524641686506,0.061569970448217014,-0.0006251483775828616,0.01611273232085403,-0.0005525921536059628,0.016112732320854077,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,6.0,7.5,35.3,0.8502001320971924,23.02842892175753,0.320409540381017,3.270640811683088,0.41193420725994256,9.129761433778551,0.11258116106758233,0.02424846269410475,-0.007148790845009814,0.06341411018734772,-0.0005642120611516513,0.016595339828418983,-0.0005590885645467183,0.016595339828419046,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,3.0,8.0,35.3,1.0309259206547685,33.85921555548021,0.3885185239727887,4.808896543641268,0.49949845434757123,13.423693010353457,0.056856913783440884,0.012348397118622234,-0.005462175903188852,0.034153680746787034,-0.0016315795387013901,0.008937946723682897,-0.00042730208744382877,0.008937946723682783,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,3.25,8.0,35.3,1.0051865496637225,32.189580067456035,0.378818290207129,4.571764519293448,0.4870273584440552,12.761755813559763,0.06343425375289458,0.013746395382128311,-0.005692765210761265,0.03763563578407313,-0.0015080020554787644,0.009849167064713034,-0.00044534427649281066,0.009849167064712932,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,3.5,8.0,35.3,0.9845623282417277,30.882212205610696,0.3710457704708203,4.386083998083671,0.4770346261671662,12.243441831942027,0.06973993407987608,0.015089829324496738,-0.00589823187422472,0.04096193610115742,-0.0013914911151011857,0.010719652891452653,-0.0004614141393573967,0.010719652891452568,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,3.75,8.0,35.3,0.9677468755411892,29.836338753746624,0.36470863728573355,4.237542540603235,0.4688872971837809,11.82879890784659,0.07576577915132936,0.016376278174576993,-0.006082358426591934,0.04413154805984155,-0.0012821464051622007,0.011549133702949996,-0.0004758096572349714,0.011549133702949924,-0.1562500000000002,-4.453125000000227
